,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
507,The Man from Earth,2007,87 min,7.9,,"180,031",,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
508,Letters from Iwo Jima,2006,141 min,7.9,89        ,"157,539",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
509,Cuộc Đời Của Pi,2012,127 min,7.9,79        ,"597,475",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
510,Fantastic Mr. Fox,2009,87 min,7.9,83        ,"210,776",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
511,C.R.A.Z.Y.,2005,129 min,7.9,81        ,"31,984",,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
512,Les choristes,2004,97 min,7.9,56        ,"59,243",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
513,Người Sắt,2008,126 min,7.9,79        ,"977,464",$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
514,Shaun of the Dead,2004,99 min,7.9,76        ,"528,440",$13.54M,A man's uneventful life is disrupted by the zombie apocalypse.
515,Kal Ho Naa Ho,2003,186 min,7.9,54        ,"65,891",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
516,Gegen die Wand,2004,121 min,7.9,78        ,"52,560",,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
517,Dòng Sông Kì Bí,2003,138 min,7.9,84        ,"434,550",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
518,Harry Potter và Tên Tù Nhân Ngục Azkaban,2004,142 min,7.9,82        ,"576,322",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
519,Anh Hùng,2002,120 min,7.9,85        ,"177,032",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
520,Sennen joyû,2001,87 min,7.9,70        ,"25,247",$0.19M,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
521,Hable con ella,2002,112 min,7.9,86        ,"108,364",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
522,No Man's Land,I) (,98 min,7.9,84        ,"45,931",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
523,Cowboy Bebop: Tengoku no tobira,2001,115 min,7.9,61        ,"44,789",$1.00M,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
524,The Bourne Identity,2002,119 min,7.9,68        ,"521,972",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
525,Nueve reinas,2000,114 min,7.9,80        ,"51,138",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
526,Children of Men,2006,109 min,7.9,84        ,"477,402",$35.55M,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
527,Todo sobre mi madre,1999,101 min,7.9,87        ,"92,412",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
528,Almost Famous,2000,122 min,7.9,90        ,"263,591",$32.53M,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
529,Mulholland Dr.,2001,147 min,7.9,85        ,"335,682",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
530,Shrek,2001,90 min,7.9,84        ,"635,869",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
531,Câu Chuyện Đồ Chơi 2,1999,92 min,7.9,88        ,"545,739",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
532,Knockin' on Heaven's Door,1997,87 min,7.9,,"28,764",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
533,Boogie Nights,1997,155 min,7.9,85        ,"248,660",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
534,Mimi wo sumaseba,1995,111 min,7.9,75        ,"56,282",,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
535,Once Were Warriors,1994,102 min,7.9,77        ,"32,632",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
536,True Romance,1993,119 min,7.9,59        ,"215,542",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
537,Trois couleurs: Bleu,1993,94 min,7.9,85        ,"95,618",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
538,Jûbê ninpûchô,1993,94 min,7.9,,"35,769",,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
539,Carlito's Way,1993,144 min,7.9,65        ,"207,468",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
540,Người Kéo Học Yêu,1990,105 min,7.9,74        ,"458,922",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
541,My Left Foot: The Story of Christy Brown,1989,103 min,7.9,97        ,"70,899",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
542,Dịch Vụ Giao Hàng Của Kiki,1989,103 min,7.9,83        ,"131,919",,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
543,Crimes and Misdemeanors,1989,104 min,7.9,77        ,"56,305",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
544,Không Thể Mua Chuộc,1987,119 min,7.9,79        ,"293,030",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
545,Hannah and Her Sisters,1986,107 min,7.9,90        ,"69,198",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
546,Brazil,1985,132 min,7.9,84        ,"194,019",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
547,This Is Spinal Tap,1984,82 min,7.9,92        ,"134,191",$0.19M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
548,A Christmas Story,1983,93 min,7.9,77        ,"136,600",$20.61M,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
549,The Blues Brothers,1980,133 min,7.9,60        ,"189,265",$57.23M,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
